26,2
25,2
23,2
4,2
28,2
46,2
39,2
11,2
32,2
22,2
1,2
35,2
13,2
27,2
36,2
38,2
2,2
37,2
47,2
34,2
48,2
49,2
29,2
45,2
50,2
24,2
38,4
29,4
22,4
5,2
47,4
35,4
33,2
12,2
3,2
18,2
4,4
43,2
10,2
8,2
19,2
39,4
15,2
11,4
41,2
30,2
46,4
42,2
21,2
26,4
44,2
21,4
40,2
33,4
15,4
23,4
50,4
2,4
32,4
49,4
45,4
3,4
48,4
13,4
5,4
27,4
38,6
29,6
34,4
22,6
50,6
35,6
45,6
12,4
37,4
14,4
8,4
1,4
10,4
4,6
43,4
18,4
41,4
11,6
2,6
33,6
21,6
40,4
26,6
46,6
39,6
44,4
23,6
3,6
51,4
19,6
10,6
15,6
51,2
5,6
13,6
32,6
49,6
30,6
27,6
47,6
34,6
48,6
51,6
42,6
37,6
41,6
16,6
43,6
4,8
44,6
46,8
39,8
12,6
32,8
50,8
22,8
29,8
13,8
44,8
11,8
14,8
23,8
42,8
10,8
3,8
4,10
21,8
51,8
20,8
10,10
33,10
39,10
2,8
48,8
41,8
38,8
36,8
49,8
26,8
34,8
22,10
29,10
25,10
24,10
30,10
2,10
50,10
36,10
38,10
46,10
44,10
32,10
16,10
22,11
29,11
38,11
13,10
13,11
2,11
14,10
11,10
42,10
51,10
20,10
12,10
23,10
21,10
4,11
25,11
11,11
21,11
39,11
23,11
28,10
42,11
33,11
3,11
3,10
46,11
1,10
1,11
51,11
20,11
28,11
37,10
34,10
32,11
50,11
34,11
49,11
44,11
15,10
26,10
26,11
41,10
12,11
48,11
41,11
4,17
11,17
23,17
14,17
21,17
51,17
28,17
20,17
3,17
39,17
12,17
42,17
46,17
25,17
29,17
22,17
38,17
35,17
2,17
5,17
13,17
27,17
36,17
50,17
26,17
41,17
45,17
24,17
47,17
32,17
15,17
44,17
30,17
1,17
37,17
4,19
29,19
48,17
13,19
34,17
50,19
39,19
32,19
22,19
22,20
29,20
38,19
38,20
13,20
50,20
46,19
51,19
33,19
11,19
21,19
3,19
39,20
4,20
11,20
20,19
3,20
33,20
41,19
46,20
21,20
37,19
44,19
12,19
44,20
23,19
4,23
23,23
11,23
12,23
46,23
34,19
22,23
29,23
13,23
32,20
38,23
39,23
50,23
52,1
51,23
20,23
30,23
1,19
52,2
52,3
14,23
34,23
